ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.f64, SumSQ.f64, Count.u64, Min.f64, Max.f64, Sum.u32, SumSQ.u32, Min.u32, Max.u32
T09C10_acam, energyPC, , Accumulator, 104921410000, 3, 11925688364.020117, 175808499092.378204, 808960000, 14.742000, 14.742000, 0, 0, 0, 0
T09C10_acam, energyREG, , Accumulator, 104921410000, 3, 37704603953.294334, 954121863925148942336.000000, 812120001, 8.170000, 30888863104.000000, 0, 0, 0, 0
T09C10__mpe, activeCycle, , Accumulator, 104921410000, 3, 0, 0, 4760000, 0, 0, 4760000, 4760000, 1, 1
T09C11_ctrl, activeCycleF, , Accumulator, 104921410000, 3, 0, 0, 104921410, 0, 0, 104921410, 104921410, 1, 1
T09C11_ctrl, activeCycleD, , Accumulator, 104921410000, 3, 0, 0, 103272249, 0, 0, 103272249, 103272249, 1, 1
T09C11_ctrl, activeCycleM, , Accumulator, 104921410000, 3, 0, 0, 17529665, 0, 0, 17529665, 17529665, 1, 1
T09C11_ctrl, activeCycleALU, , Accumulator, 104921410000, 3, 0, 0, 70862248, 0, 0, 70862248, 70862248, 1, 1
T09C11_ctrl, activeCycleFPU, , Accumulator, 104921410000, 3, 0, 0, 8690000, 0, 0, 8690000, 8690000, 1, 1
T09C11_acam, energyCAM, , Accumulator, 104921410000, 3, 558545283540.264648, 7378753551917.301758, 207902720000, 0.646400, 87.552000, 0, 0, 0, 0
T09C11_acam, energyDAC, , Accumulator, 104921410000, 3, 145795348.731503, 6726672061.300043, 3160000, 46.137769, 46.137769, 0, 0, 0, 0
T09C11_acam, energySA, , Accumulator, 104921410000, 3, 14561279999.999998, 262103039999.999969, 808960000, 18.000000, 18.000000, 0, 0, 0, 0
T09C11_acam, energyPC, , Accumulator, 104921410000, 3, 11925688364.020117, 175808499092.378204, 808960000, 14.742000, 14.742000, 0, 0, 0, 0
T09C11_acam, energyREG, , Accumulator, 104921410000, 3, 37704603953.294334, 954121863925148942336.000000, 812120001, 8.170000, 30888863104.000000, 0, 0, 0, 0
T09C11__mpe, activeCycle, , Accumulator, 104921410000, 3, 0, 0, 4760000, 0, 0, 4760000, 4760000, 1, 1
T09C12_ctrl, activeCycleF, , Accumulator, 104921410000, 3, 0, 0, 104921410, 0, 0, 104921410, 104921410, 1, 1
T09C12_ctrl, activeCycleD, , Accumulator, 104921410000, 3, 0, 0, 103272249, 0, 0, 103272249, 103272249, 1, 1
T09C12_ctrl, activeCycleM, , Accumulator, 104921410000, 3, 0, 0, 17529665, 0, 0, 17529665, 17529665, 1, 1
T09C12_ctrl, activeCycleALU, , Accumulator, 104921410000, 3, 0, 0, 70862248, 0, 0, 70862248, 70862248, 1, 1
T09C12_ctrl, activeCycleFPU, , Accumulator, 104921410000, 3, 0, 0, 8690000, 0, 0, 8690000, 8690000, 1, 1
T09C12_acam, energyCAM, , Accumulator, 104921410000, 3, 556753663324.848267, 7376985771989.542969, 207902720000, 0.646400, 87.552000, 0, 0, 0, 0
T09C12_acam, energyDAC, , Accumulator, 104921410000, 3, 145795348.731503, 6726672061.300043, 3160000, 46.137769, 46.137769, 0, 0, 0, 0
T09C12_acam, energySA, , Accumulator, 104921410000, 3, 14561279999.999998, 262103039999.999969, 808960000, 18.000000, 18.000000, 0, 0, 0, 0
T09C12_acam, energyPC, , Accumulator, 104921410000, 3, 11925688364.020117, 175808499092.378204, 808960000, 14.742000, 14.742000, 0, 0, 0, 0
T09C12_acam, energyREG, , Accumulator, 104921410000, 3, 37704603953.294334, 954121863925148942336.000000, 812120001, 8.170000, 30888863104.000000, 0, 0, 0, 0
T09C12__mpe, activeCycle, , Accumulator, 104921410000, 3, 0, 0, 4760000, 0, 0, 4760000, 4760000, 1, 1
T09C13_ctrl, activeCycleF, , Accumulator, 104921410000, 3, 0, 0, 104921410, 0, 0, 104921410, 104921410, 1, 1
T09C13_ctrl, activeCycleD, , Accumulator, 104921410000, 3, 0, 0, 103272249, 0, 0, 103272249, 103272249, 1, 1
T09C13_ctrl, activeCycleM, , Accumulator, 104921410000, 3, 0, 0, 17529665, 0, 0, 17529665, 17529665, 1, 1
T09C13_ctrl, activeCycleALU, , Accumulator, 104921410000, 3, 0, 0, 70862248, 0, 0, 70862248, 70862248, 1, 1
T09C13_ctrl, activeCycleFPU, , Accumulator, 104921410000, 3, 0, 0, 8690000, 0, 0, 8690000, 8690000, 1, 1
T09C13_acam, energyCAM, , Accumulator, 104921410000, 3, 560765749674.805664, 7393745661440.785156, 207902720000, 0.646400, 87.552000, 0, 0, 0, 0
T09C13_acam, energyDAC, , Accumulator, 104921410000, 3, 145795348.731503, 6726672061.300043, 3160000, 46.137769, 46.137769, 0, 0, 0, 0
T09C13_acam, energySA, , Accumulator, 104921410000, 3, 14561279999.999998, 262103039999.999969, 808960000, 18.000000, 18.000000, 0, 0, 0, 0
T09C13_acam, energyPC, , Accumulator, 104921410000, 3, 11925688364.020117, 175808499092.378204, 808960000, 14.742000, 14.742000, 0, 0, 0, 0
T09C13_acam, energyREG, , Accumulator, 104921410000, 3, 37704603953.294334, 954121863925148942336.000000, 812120001, 8.170000, 30888863104.000000, 0, 0, 0, 0
T09C13__mpe, activeCycle, , Accumulator, 104921410000, 3, 0, 0, 4760000, 0, 0, 4760000, 4760000, 1, 1
T09C14_ctrl, activeCycleF, , Accumulator, 104921410000, 3, 0, 0, 104921410, 0, 0, 104921410, 104921410, 1, 1
T09C14_ctrl, activeCycleD, , Accumulator, 104921410000, 3, 0, 0, 103272249, 0, 0, 103272249, 103272249, 1, 1
T09C14_ctrl, activeCycleM, , Accumulator, 104921410000, 3, 0, 0, 17529665, 0, 0, 17529665, 17529665, 1, 1
T09C14_ctrl, activeCycleALU, , Accumulator, 104921410000, 3, 0, 0, 70862248, 0, 0, 70862248, 70862248, 1, 1
T09C14_ctrl, activeCycleFPU, , Accumulator, 104921410000, 3, 0, 0, 8690000, 0, 0, 8690000, 8690000, 1, 1
T09C14_acam, energyCAM, , Accumulator, 104921410000, 3, 559956106898.232178, 7390840446167.974609, 207902720000, 0.646400, 87.552000, 0, 0, 0, 0
T09C14_acam, energyDAC, , Accumulator, 104921410000, 3, 145795348.731503, 6726672061.300043, 3160000, 46.137769, 46.137769, 0, 0, 0, 0
T09C14_acam, energySA, , Accumulator, 104921410000, 3, 14561279999.999998, 262103039999.999969, 808960000, 18.000000, 18.000000, 0, 0, 0, 0
T09C14_acam, energyPC, , Accumulator, 104921410000, 3, 11925688364.020117, 175808499092.378204, 808960000, 14.742000, 14.742000, 0, 0, 0, 0
T09C14_acam, energyREG, , Accumulator, 104921410000, 3, 37704603953.294334, 954121863925148942336.000000, 812120001, 8.170000, 30888863104.000000, 0, 0, 0, 0
T09C14__mpe, activeCycle, , Accumulator, 104921410000, 3, 0, 0, 4760000, 0, 0, 4760000, 4760000, 1, 1
